Mission,Cluster,Site,African.Darter,African.Fish.Eagle,African.Jacana,African.Openbill,African.Purple.Swamphen,African.Pygmy.goose,African.Sacred.Ibis,African.Spoonbill,African.Wattled.Lapwing,Black.Crake,Blacksmith.Lapwing,Black.winged.Stilt,Cape.Shoveler,Cape.Teal,Caspian.Tern,Cattle.Egret,Comb.Duck,Common.Greenshank,Common.Moorhen,Common.Sandpiper,Curlew.Sandpiper,Egyptian.Goose,Fulvous.Duck,Glossy.Ibis,Goliath.Heron,Great.Egret,Great.White.Pelican,Greater.Flamingo,Grey.Heron,Grey.headed.Gull,Hottentot.Teal,Kittlitzs.Plover,Lesser.Flamingo,Little.Egret,Little.Grebe,Little.Stint,Little.Tern,Malachite.Kingfisher,Pied.Avocet,Pied.Kingfisher,Pink.backed.Pelican,Purple.Heron,Red.billed.Teal,Red.knobbed.Coot,Reed.Cormorant,Ruff,Spur.winged.Goose,Squacco.Heron,Three.banded.Plover,Water.Thick.knee,Whiskered.Tern,White.backed.Duck,White.breasted.Cormorant,White.faced.Duck,White.fronted.Plover,White.winged.Tern,Wood.Sandpiper,Yellow.billed.Duck,Yellow.billed.Egret,Yellow.billed.Stork
KZN2,ES,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,4,0,0,0,0
KZN2,ES,6,0,0,20,0,0,1,1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,6,0,4,0,0,0,0,7,0,21,0,0,0,0,0,0
KZN2,FB,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KZN2,FB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
KZN2,FB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
KZN2,FB,4,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,37,2,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KZN2,FB,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KZN2,JZ,1,0,0,5,0,0,0,3,0,2,0,5,17,0,0,0,0,0,0,0,0,0,118,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,21,0,3,0,0,0,0,0,0,0,0,0,0,3
KZN2,JZ,2,0,0,1,0,0,0,1,4,3,0,2,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
KZN2,JZ,3,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
