unique_code,vm_number,sp_code,collection,basis_of_record,collector,country,state_prov,locality,coords_unc,Year,month,day,order,family,genus,species,taxon_name,common_nam,red_data_s,url,decimallat,decimallon
79549,52112,550,PEM,Voucher,C. Fernol,South Africa,Western Cape,"Kammanassieberg, East of Paardeberg",centroid of 15x15 minute grid (QDS),1994,11,12,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-52112,-33.625,22.875
79550,74512,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74512,-33.625,18.625
79551,74513,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74513,-33.625,18.875
79552,74521,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74521,-33.625,19.125
79553,74522,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74522,-33.625,19.375
79554,74525,550,SARCA-LIT,literature,NA,South Africa,Western Cape,NA,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-74525,-33.625,19.625
79555,115173,550,CAPENATURE,voucher,RM Lightfoot,South Africa,Western Cape,Paarl,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115173,-33.625,18.875
79556,115178,550,CAPENATURE,voucher,WF Purcell,South Africa,Western Cape,"Brandvlei, Worcester Div.","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115178,-33.625,19.375
79557,115195,550,CAPENATURE,voucher,GR McLachlan,South Africa,Western Cape,Du Toits Kloof [near Rawsonville],"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115195,-33.625,19.125
79558,115240,550,CAPENATURE,voucher,CL Leipoldt,South Africa,Western Cape,Worcester,"degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115240,-33.625,19.375
79559,115361,550,CAPENATURE,voucher,WR BRANCH,South Africa,Western Cape,WELLINGTON,centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115361,-33.625,18.875
79560,134331,550,CAS,Voucher,NA,South Africa,Western Cape,"extreme W Langeberge, vic telecommunications tower near Naudesberg, above Farm Simonskloof",centroid of 15x15 minute grid (QDS),0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-134331,-33.625,19.625
79561,115236,550,CAPENATURE,voucher,WF Purcell,South Africa,Western Cape,"Rabiesberg, Nuy Siding, Worcester Div.","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115236,-33.62333333,19.65027778
79562,115237,550,CAPENATURE,voucher,WF Purcell,South Africa,Western Cape,"Rabiesberg, Nuy Siding, Worcester Div.","degree, minute and integer second",0,0,0,Squamata,Gekkonidae,Pachydactylus,geitje,Pachydactylus geitje,Ocellated Gecko,Least Concern (SARCA 2014),http://vmus.adu.org.za/?vm=ReptileMAP-115237,-33.62333333,19.65027778
